19,ONE PLATA,355189021656998,18,8952020013595534706,1,7169,HTC
20,ONE PLATA,355259025685655,19,8952020013595534807,2,7169,HTC
21,PH06130 STATUS BLANCO 3G,356190055612956,20,8952020013595534908,4,899,Lanix
22,S100 NEGRO,355189021656970,21,8952020013595535009,4,1269,Lanix
23,D680 G PRO LITE,355189021656971,22,8952020013595535110,1,4999,LG
24,P880 NEGRO 3G,355189021656972,23,8952020013595535211,1,4999,LG
25,XT925 RAZR HD,355189021656973,24,8952020013595535312,1,6249,Motorola
26,XT925 RAZR HD,355189021656974,25,8952020013595535413,3,6249,Motorola
27,LT26 XPERIA S,355189021656975,26,8952020013595535514,1,5739,Motorola
28,LT26 XPERIA S,355189021656976,27,8952020013595535120,1,5739,Motorola
29,MOTO X XT1058 NEGRO,355189021656977,28,8952020013595535221,3,8999,Motorola
30,MOTO X XT1058 NEGRO,355189021656978,29,8952020013595535322,3,8999,Motorola
31,ONE PLATA,355189021656979,30,8952020013595535423,2,7169,HTC
32,ONE PLATA,355189021656930,31,8952020013595535524,3,7169,HTC
33,MOTO X XT1058 BLANCO,355189021656931,32,8952020010495535514,1,8999,Motorola
34,MOTO X XT1058 NEGRO,355189021656932,33,8952020013125535120,1,8999,Motorola
35,MOTO X XT1058 NEGRO,355189021656933,34,8952020013105535221,2,8999,Motorola
36,MOTO X XT1058 NEGRO,355189021656934,35,8952020013095535322,2,8999,Motorola
37,ONE PLATA,355189021656935,36,8952020023595535423,2,7169,HTC
38,ONE PLATA,355189021656936,37,8952020013595535524,3,7169,HTC
39,MOTO X XT1058 BLANCO,355189021656937,38,8952020013525535514,1,8999,Motorola
40,MOTO X XT1058 NEGRO,355189021656938,39,8952020013593535120,1,8999,Motorola
41,MOTO X XT1058 NEGRO,355189021656939,40,8952020013594535221,3,8999,Motorola
42,V795 ROJO,355189021657902,41,8952020013592736022,3,979,ZTE
43,V795 ROJO,355189021658903,42,8952020013593736223,3,979,ZTE
44,V795 ROJO,355189021659904,43,8952020013594736424,3,979,ZTE
45,V795 ROJO,355189021660905,44,8952020013595036614,1,979,ZTE
46,V795 NEGRO,355189021716906,45,8952020013594568120,1,979,ZTE
47,V795 NEGRO,355189021726907,46,8952020013596570221,3,979,ZTE
48,V795 NEGRO,355189021736908,47,8952020013597572322,3,979,ZTE
49,V795 NEGRO,355189021746909,48,8952020013598574423,1,979,ZTE
50,V795 NEGRO,355189021756910,49,8952020013599576524,1,979,ZTE
